Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8,Gast_9,Beschreibung_9,Gast_10,Beschreibung_10,Gast_11,Beschreibung_11,Gast_12,Beschreibung_12,Gast_13,Beschreibung_13
 Markus Lanz 06.12.2023,1882,16,131,06.12.2023,075'19,23:51:42 - 01:07:01," 23:51:42 - 01:07:01 075'19 O-Ton Interview Markus LANZ mit den Studiogästen Gili ROMAN (Bruder einer freigelassenen Geisel der Hamas, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 07.12.2023,1883,16,132,07.12.2023,077'18,23:40:54 - 00:58:12," 23:40:54 - 00:58:12 077'18 O-Ton Interview Markus LANZ mit den Studiogästen Tino CHRUPALLA (Vors AfD), Anne HÄHNIG (Journalistin, ""Zeit""), Marcel FRATZSCHER (Ökonom, Präs Deutsches Institut für Wirtschaftsforschung (DIW)) und Michael WOLFFSOHN (Historiker) ",Tino CHRUPALLA,Vors AfD,Anne HÄHNIG,"Journalistin, ""Zeit""",Marcel FRATZSCHER,DIW,Präs Deutsches I,DIW,Michael WOLFFSOHN,Historiker,,,,,,,,,,,,,,,,
 Markus Lanz 12.12.2023,1884,16,133,12.12.2023,075'22,23:05:34 - 00:20:56," 23:05:34 - 00:20:56 075'22 O-Ton Interview Markus LANZ mit den Studiogästen Roderich KIESEWETTER (ehem Oberst, CDU), Kerstin MÜNSTERMANN (Journalistin, ""Rheinischen Post""), Tankred STÖBE (Mediziner bei ""Ärzte ohne Grenzen"") und Michael THUMANN (Journalist, ""ZEIT"") ",Roderich KIESEWETTER,"ehem Oberst, CDU",Kerstin MÜNSTERMANN,"Journalistin, ""Rheinischen Post""",Tankred STÖBE,"Mediziner bei ""Ärzte ohne Grenzen""",Michael THUMANN,"Journalist, ""ZEIT""",,,,,,,,,,,,,,,,,,
 Markus Lanz - Das Jahr 2023,,,,13.12.2023,136'06,20:28:16 - 22:44:22, 20:28:16 - 22:44:22 136'06 Markus Lanz schaut gemeinsam mit prominenten und nicht prominenten Gästen auf die ,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 14.12.2023,1885,16,134,14.12.2023,076'27,23:18:07 - 00:34:34," 23:18:07 - 00:34:34 076'27 O-Ton Interview Markus LANZ mit den Studiogästen Dietmar BARTSCH (MdB, Die Linke), Anna LEHMANN (Journalistin, ""taz""), Elmar THEVEßEN (Journalist, Leiter ZDF-Studio Washington) und Rüdiger BACHMANN (Ökonom) ",Dietmar BARTSCH,"MdB, Die Linke",Anna LEHMANN,"Journalistin, ""taz""",Elmar THEVEßEN,"Journalist, Leiter ZDF-Studio Washington",Rüdiger BACHMANN,Ökonom,,,,,,,,,,,,,,,,,,
 Markus Lanz 19.12.2023,1886,16,135,19.12.2023,074'59,23:12:43 - 00:27:42," 23:12:43 - 00:27:42 074'59 O-Ton Interview Markus LANZ mit den Studiogästen Florence GAUB (Politologin, NATO Defense College), Carla REEMTSMA (Klimaaktivistin, ""Fridays for Future""), Linus NEUMANN (Sprecher ""Chaos Computer Club"") und Rafael LAGUNA DE LA VERA (Direktor der Bundesagentur für Sprunginnovationen) ",Florence GAUB,"Politologin, NATO Defense College",Carla REEMTSMA,"Klimaaktivistin, ""Fridays for Future""",Linus NEUMANN,"Sprecher ""Chaos Computer Club""",Rafael LAGUNA,Direktor der Bundesagentur für Sprunginnovationen,,,,,,,,,,,,,,,,,,
 Markus Lanz 20.12.2023,1887,16,136,20.12.2023,074'35,22:59:42 - 00:14:17," 22:59:42 - 00:14:17 074'35 O-Ton Interview Markus LANZ mit den Studiogästen BMBAU Klara GEYWITZ (SPD), Roman PLETTER (Journalist, ""Zeit""), Jan-Hendrik GOLDBECK (Unternehmer) und Matthias BERNT (Politologe, Leibniz-Institut für Raumbezogene Sozialforschung) ",Klara GEYWITZ,SPD,Roman PLETTER,"Journalist, ""Zeit""",Hendrik GOLDBECK,Unternehmer,Matthias BERNT,"Politologe, Leibniz-Institut für Raumbezogene Sozialforschung",,,,,,,,,,,,,,,,,,
 Markus Lanz 21.12.2023,1888,16,137,21.12.2023,075'39,23:00:35 - 00:16:14," 23:00:35 - 00:16:14 075'39 O-Ton Interview Johannes WINKEL (Bundesvors ""Jungen Union""), Vanessa VU (Journalistin, ""ZEIT ONLINE""), Stefan SCHULZ (Soziologe) und Rainer HANK (Wirtschaftsjournalist) ",Ton Interview Johannes WINKEL,"Bundesvors ""Jungen Union""",Vanessa VU,"Journalistin, ""ZEIT ONLINE""",Stefan SCHULZ,Soziologe,Rainer HANK,Wirtschaftsjournalist,,,,,,,,,,,,,,,,,,
 Markus Lanz 09.01.2024,1889,17,1,09.01.2024,074'28,23:16:11 - 00:30:39," 23:16:11 - 00:30:39 074'28 O-Ton Interview Markus LANZ mit den Studiogästen Anton HOFREITER (Politiker, Bündnis 90 / Die Grünen), Ursula WEIDENFELD (Journalistin, ""Der Spiegel""), Henrik WENDORFF (Biolandwirt, Präs Landesbauernverband Brandenburg) und Sebastian LAKNER (Agrarökonom, Universität Rostock) ",Anton HOFREITER,"Politiker, Bündnis 90 / Die Grünen",Ursula WEIDENFELD,"Journalistin, ""Der Spiegel""",Henrik WENDORFF,"Biolandwirt, Präs Landesbauernverband Brandenburg",Sebastian LAKNER,"Agrarökonom, Universität Rostock",,,,,,,,,,,,,,,,,,
 Markus Lanz 10.01.2024,1890,17,2,10.01.2024,076'29,23:14:37 - 00:31:06," 23:14:37 - 00:31:06 076'29 O-Ton Interview Markus LANZ mit den Studiogästen Ralf STEGNER (MdB, SPD), Dorothea SIEMS (Journalistin, ""WELT""), Christian BÖTTGER (Verkehrsforscher, Hochschule für Technik und Wirtschaft Berlin) und Christian LOHMEYER (Landwirt) ",Ralf STEGNER,"MdB, SPD",Dorothea SIEMS,"Journalistin, ""WELT""",Christian BÖTTGER,"Verkehrsforscher, Hochschule für Technik und Wirtschaft Berlin",Christian LOHMEYER,Landwirt,,,,,,,,,,,,,,,,,,
 Markus Lanz 11.01.2024,1891,17,3,11.01.2024,076'40,23:21:23 - 00:38:03," 23:21:23 - 00:38:03 076'40 O-Ton Interview Markus LANZ mit den Studiogästen Jens SPAHN (Politiker, CDU), Martin MACHOWECZ (Journalist, ""Die Zeit""), Philippa SIGL-GLÖCKNER (Ökonomin) und Matthias QUENT (Soziologe) ",Jens SPAHN,"Politiker, CDU",Martin MACHOWECZ,"Journalist, ""Die Zeit""",Philippa SIGL-GLÖCKNER,Ökonomin,Matthias QUENT,Soziologe,,,,,,,,,,,,,,,,,,
 Markus Lanz 16.01.2024,1892,17,4,16.01.2024,076'11,22:46:13 - 00:02:24," 22:46:13 - 00:02:24 076'11 O-Ton Interview Markus LANZ mit den Studiogästen Elmar THEVEßEN (Leiter ZDF-Studio Washington, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 17.01.2024,1893,17,5,17.01.2024,075'15,23:19:20 - 00:34:35," 23:19:20 - 00:34:35 075'15 O-Ton Interview Markus LANZ mit den Studiogästen Sahra WAGENKNECHT (Politikerin, BSW), Marcus BENSMANN (Journalist, ""Correctiv"") und Robin ALEXANDER (Journalist, ""Die Welt"") ",Sahra WAGENKNECHT,"Politikerin, BSW",Marcus BENSMANN,"Journalist, ""Correctiv""",Robin ALEXANDER,"Journalist, ""Die Welt""",,,,,,,,,,,,,,,,,,,,
 Markus Lanz 18.01.2024,1894,17,6,18.01.2024,074'39,23:36:45 - 00:51:24," 23:36:45 - 00:51:24 074'39 O-Ton Interview Markus LANZ mit den Studiogästen Stephan WEIL (MPr Niedersachsen, SPD), Kerstin MÜNSTERMANN (Journalistin, Leiterin Parlamentsbüro ""Rheinische Post"") und Herfried MÜNKLER (Politologe) ",Stephan WEIL,"MPr Niedersachsen, SPD",Kerstin MÜNSTERMANN,"Journalistin, Leiterin Parlamentsbüro ""Rheinische Post""",Herfried MÜNKLER,Politologe,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 23.01.2024,1895,17,7,23.01.2024,076'22,22:44:44 - 00:01:06," 22:44:44 - 00:01:06 076'22 O-Ton Interview Markus LANZ mit den Studiogästen Lars KLINGBEIL (Politiker, Vors SPD), Dorothea SIEMS (Journalistin, ""Die Welt""), Andreas REINICKE (Ex-Diplomat) und Michael BEWERUNGE (ZDF-Korrespondent, Studioleitung Tel Aviv, Zuschaltung ",Lars KLINGBEIL,"Politiker, Vors SPD",Dorothea SIEMS,"Journalistin, ""Die Welt""",Andreas REINICKE,Ex-Diplomat,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 24.01.2024,1896,17,8,24.01.2024,074'16,23:17:12 - 00:31:28," 23:17:12 - 00:31:28 074'16 O-Ton Interview Markus SÖDER (MPr Bayern, CSU), Anna LEHMANN (Journalistin, ""taz""), Elmar THEVEßEN (Leiter ZDF-Studio Washington, Zuschaltung ",Ton Interview Markus SÖDER,"MPr Bayern, CSU",Anna LEHMANN,"Journalistin, ""taz""",,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 25.01.2024,1897,17,9,25.01.2024,075'17,23:20:43 - 00:36:00," 23:20:43 - 00:36:00 075'17 O-Ton Interview Markus LANZ mit den Studiogästen BMBF Bettina STARK-WATZINGER (FDP), Karin PRIEN (Kultusministerin Schleswig-Holstein, CDU), Eva QUADBECK (Journalistin, ""RedaktionsNetzwerk Deutschland"") und Florian FABRICIUS (Schüler, Gensekr der Bundesschülerkonferenz) ",Bettina STARK-WATZINGER,FDP,Karin PRIEN,"Kultusministerin Schleswig-Holstein, CDU",Eva QUADBECK,"Journalistin, ""RedaktionsNetzwerk Deutschland""",Florian FABRICIUS,"Schüler, Gensekr der Bundesschülerkonferenz",,,,,,,,,,,,,,,,,,
 Markus Lanz 30.01.2024,1898,17,10,30.01.2024,076'25,23:58:24 - 01:14:49, 23:58:24 - 01:14:49 076'25 O-Ton Interview Markus LANZ mit den Studiogästen Leon WEINTRAUB (,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 31.01.2024,1899,17,11,31.01.2024,076'57,23:14:04 - 00:31:01," 23:14:04 - 00:31:01 076'57 O-Ton Interview Markus LANZ mit den Studiogästen Norbert RÖTTGEN (CDU), Veit MEDICK (Journalist, Leiter Ressort Politik beim ""Stern""), Sarah PAGUNG (Politologin, Körber-Stiftung) und Bijan MOINI (Jurist, Anwalt ""Gesellschaft für Freiheitsrechte"") ",Norbert RÖTTGEN,CDU,Veit MEDICK,"Journalist, Leiter Ressort Politik beim ""Stern""",Sarah PAGUNG,"Politologin, Körber-Stiftung",Bijan MOINI,"Jurist, Anwalt ""Gesellschaft für Freiheitsrechte""",,,,,,,,,,,,,,,,,,
 Markus Lanz 01.02.2024,1900,17,12,01.02.2024,076'13,23:19:23 - 00:35:36," 23:19:23 - 00:35:36 076'13 O-Ton Interview Markus LANZ mit den Studiogästen Konstantin KUHLE (stellv Fraktionsvors FDP), Kristina DUNZ (Journalistin, ""RedaktionsNetzwerk Deutschland""), Gunter ERFURT (Manager Solarkonzern Meyer Burger) und Dirk NEUBAUER (Landrat Landkreis Mittelsachsen) ",Konstantin KUHLE,stellv Fraktionsvors FDP,Kristina DUNZ,"Journalistin, ""RedaktionsNetzwerk Deutschland""",Gunter ERFURT,Manager Solarkonzern Meyer Burger,Dirk NEUBAUER,Landrat Landkreis Mittelsachsen,,,,,,,,,,,,,,,,,,
 Markus Lanz 06.02.2024,1901,17,13,06.02.2024,073'23,22:44:22 - 23:57:45," 22:44:22 - 23:57:45 073'23 O-Ton Interview Markus LANZ mit den Studiogästen Tino CHRUPALLA (Politiker, AfD), Franziska KLEMENZ (Journalistin, ""Table.Media""), Claus Ruhe MADSEN (Minister für Wirtschaft, Verkehr, Arbeit, Technologie und Tourismus Schleswig-Holstein, CDU) und Lukas RIETZSCHEL (Schriftsteller) ",Tino CHRUPALLA,"Politiker, AfD",Franziska KLEMENZ,"Journalistin, ""Table.Media""",Claus Ruhe MADSEN,"Minister für Wirtschaft, Verkehr, Arbeit, Technologie und Tourismus Schleswig-Holstein, CDU",Lukas RIETZSCHEL,Schriftsteller,,,,,,,,,,,,,,,,,,
 Markus Lanz 07.02.2024,1902,17,14,07.02.2024,075'30,22:39:43 - 23:55:13," 22:39:43 - 23:55:13 075'30 O-Ton Interview Markus LANZ mit den Studiogästen Kevin KÜHNERT (GenSekr, SPD), Daniel STURM (Journalist, ""Tagesspiegel""), Veronika GRIMM (Ökonomin) und Martina NIGHSWONGER (Unternehmerin) ",Kevin KÜHNERT,"GenSekr, SPD",Daniel STURM,"Journalist, ""Tagesspiegel""",Veronika GRIMM,Ökonomin,Martina NIGHSWONGER,Unternehmerin,,,,,,,,,,,,,,,,,,
 Markus Lanz 08.02.2024,1903,17,15,08.02.2024,075'07,23:02:14 - 00:17:21," 23:02:14 - 00:17:21 075'07 O-Ton Interview Markus LANZ mit den Studiogästen BMG Karl LAUTERBACH (SPD), Melanie AMANN (Journalistin, ""Der Spiegel""), Felix NENSA (Radiologe) und Tanja BRUNNERT (Kinderärztin) ",Karl LAUTERBACH,SPD,Melanie AMANN,"Journalistin, ""Der Spiegel""",Felix NENSA,Radiologe,Tanja BRUNNERT,Kinderärztin,,,,,,,,,,,,,,,,,,
 Markus Lanz 13.02.2024,1904,17,16,13.02.2024,076'09,23:03:39 - 00:19:48," 23:03:39 - 00:19:48 076'09 O-Ton Interview Markus LANZ mit den Studiogästen Elmar THEVEßEN (ZDF-Korrespondent USA, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 14.02.2024,1905,17,17,14.02.2024,045'12,00:00:05 - 00:45:17, 00:00:05 - 00:45:17 045'12 O-Ton Interview Markus LANZ mit den Studiogästen Thomas HITZLSPERGER (ehem Fußballprofi) und Lena CASSEL (Sportjournalistin) ,Thomas HITZLSPERGER,ehem Fußballprofi,Lena CASSEL,Sportjournalistin,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 15.02.2024,1906,17,18,15.02.2024,074'54,23:20:08 - 00:35:02," 23:20:08 - 00:35:02 074'54 O-Ton Interview Markus LANZ mit den Studiogästen BMUV Steffi LEMKE (Bündnis 90 / Die Grünen), Michael BRÖCKER (Journalist, ""Table.Media""), Matthias QUENT (Soziologe) und Said Etris HASHEMI (Attentatsopfer) ",Steffi LEMKE,Bündnis 90 / Die Grünen,Michael BRÖCKER,"Journalist, ""Table.Media""",Matthias QUENT,Soziologe,Said Etris HASHEMI,Attentatsopfer,,,,,,,,,,,,,,,,,,
 Markus Lanz 20.02.2024,1907,17,19,20.02.2024,076'28,22:45:26 - 00:01:54," 22:45:26 - 00:01:54 076'28 O-Ton Interview Markus LANZ mit den Studiogästen Katrin EIGENDORF (ZDF-Korrespondentin in Kiew, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 21.02.2024,1908,17,20,21.02.2024,045'34,00:00:19 - 00:45:53," 00:00:19 - 00:45:53 045'34 O-Ton Interview Markus LANZ mit den Studiogästen Johannes WINKEL (Politiker, Vorsitzender JU) und Philipp TÜRMER (Politiker, Vorsitzender Juso) ",Johannes WINKEL,"Politiker, Vorsitzender JU",Philipp TÜRMER,"Politiker, Vorsitzender Juso",,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 22.02.2024,1909,17,21,22.02.2024,077'05,23:19:01 - 00:36:06," 23:19:01 - 00:36:06 077'05 O-Ton Interview Markus LANZ mit den Studiogästen Belit ONAY (OB Hannover, Bündnis 90 / Die Grünen), Christian HERRGOTT (Landrat Saale-Orla-Kreis, CDU), Helene BUBROWSKI (Journalistin, stellv Chefredakteurin ""Table Media"") und Dr Rahel DREYER (Pädagogin, Professorin für Kindheitspädagogik an der Alice Salomon Hochschule Berlin) ",Belit ONAY,"OB Hannover, Bündnis 90 / Die Grünen",Christian HERRGOTT,"Landrat Saale-Orla-Kreis, CDU",Helene BUBROWSKI,"Journalistin, stellv Chefredakteurin ""Table Media""",Dr Rahel DREYER,"Pädagogin, Professorin für Kindheitspädagogik an der Alice Salomon Hochschule Berlin",,,,,,,,,,,,,,,,,,
 Markus Lanz 27.02.2024,1910,17,22,27.02.2024,074'02,23:14:46 - 00:28:48," 23:14:46 - 00:28:48 074'02 O-Ton Interview Markus LANZ mit den Studiogästen Peter TSCHENTSCHER (Erster Bgm Hamburg, SPD), Benedikt STRUNZ (Investigativreporter, NDR), Ursula WEIDENFELD (Journalistin, ""Der Spiegel"") und Maria KUBAN (Suchtexpertin) ",Peter TSCHENTSCHER,"Erster Bgm Hamburg, SPD",Benedikt STRUNZ,"Investigativreporter, NDR",Ursula WEIDENFELD,"Journalistin, ""Der Spiegel""",Maria KUBAN,Suchtexpertin,,,,,,,,,,,,,,,,,,
 Markus Lanz 28.02.2024,1911,17,23,28.02.2024,076'08,23:01:37 - 00:17:45," 23:01:37 - 00:17:45 076'08 O-Ton Interview Markus LANZ mit den Studiogästen Ralf STEGNER (Politiker, SPD), Irina SCHERBAKOWA (Bürgerrechtlerin), Marcus BENSMANN (Journalist, ""Correctiv"") und Christian MÖLLING (Militärexperte, Deutsche Gesellschaft für Auswärtige Politik) ",Ralf STEGNER,"Politiker, SPD",Irina SCHERBAKOWA,Bürgerrechtlerin,Marcus BENSMANN,"Journalist, ""Correctiv""",Christian MÖLLING,"Militärexperte, Deutsche Gesellschaft für Auswärtige Politik",,,,,,,,,,,,,,,,,,
 Markus Lanz 29.02.2024,1912,17,24,29.02.2024,074'49,23:20:21 - 00:35:10," 23:20:21 - 00:35:10 074'49 O-Ton Interview Markus LANZ mit den Studiogästen Jürgen TRITTIN (Bündnis 90 / Die Grünen), Kerstin MÜNSTERMANN (Journalistin, Leiterin Hauptstadtbüro ""Rheinische Post"") und Andreas RÖDDER (Historiker, ehem Leiter Grundwertekommission CDU, Leiter der Denkfabrik ""Republik 21"") ",Jürgen TRITTIN,Bündnis 90 / Die Grünen,Kerstin MÜNSTERMANN,"Journalistin, Leiterin Hauptstadtbüro ""Rheinische Post""",Andreas RÖDDER,"Historiker, ehem Leiter Grundwertekommission CDU, Leiter der Denkfabrik ""Republik 21""",,,,,,,,,,,,,,,,,,,,
 Markus Lanz 05.03.2024,1913,17,25,05.03.2024,076'29,22:46:59 - 00:03:28," 22:46:59 - 00:03:28 076'29 O-Ton Interview Markus LANZ mit den Studiogästen Roderich KIESEWETTER (Politiker, CDU), Kristin HELBERG (Journalistin, Nahost-Expertin), Abed HASSAN (Uhrmacher mit Verwandtschaft im Gazastreifen) und Philipp Peyman ENGEL (Journalist, ""Jüdische Allgemeine"") ",Roderich KIESEWETTER,"Politiker, CDU",Kristin HELBERG,"Journalistin, Nahost-Expertin",Abed HASSAN,Uhrmacher mit Verwandtschaft im Gazastreifen,Philipp Peyman ENGEL,"Journalist, ""Jüdische Allgemeine""",,,,,,,,,,,,,,,,,,
 Markus Lanz 06.03.2024,1914,17,26,06.03.2024,045'34,00:00:25 - 00:45:59," 00:00:25 - 00:45:59 045'34 O-Ton Interview Markus LANZ mit den Studiogästen Franziska BRANDMANN (FDP, Vors Junge Liberale) und Katharina STOLLA (Bündnis 90 / Die Grünen, Vors Grüne Jugend) ",Franziska BRANDMANN,"FDP, Vors Junge Liberale",Katharina STOLLA,"Bündnis 90 / Die Grünen, Vors Grüne Jugend",,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 07.03.2024,1915,17,27,07.03.2024,074'55,23:20:56 - 00:35:51," 23:20:56 - 00:35:51 074'55 O-Ton Interview Markus LANZ mit den Studiogästen Sebastian FIEDLER (MdB, SPD, Kriminalhauptkommissar), Khesrau BEHROZ (Podcaster), Eva QUADBECK (Chefredakteurin ""RedaktionsNetzwerk Deutschland"") und Tanja SCHWEIGER (Landrätin Landkreis Regensburg, Freie Wähler) ",Sebastian FIEDLER,"MdB, SPD, Kriminalhauptkommissar",Khesrau BEHROZ,Podcaster,Eva QUADBECK,"Chefredakteurin ""RedaktionsNetzwerk Deutschland""",Tanja SCHWEIGER,"Landrätin Landkreis Regensburg, Freie Wähler",,,,,,,,,,,,,,,,,,
 Markus Lanz 12.03.2024,1916,17,28,12.03.2024,076'00,23:36:06 - 00:52:06," 23:36:06 - 00:52:06 076'00 O-Ton Interview Markus LANZ mit den Studiogästen Martin HUBER (GenSekr CSU), Anna LEHMANN (Journalistin, ""taz""), Dr Vanessa GRAßNICKEL (Fachärztin für Psychiatrie und Psychotherapie) und Nathalie STÜBEN (Autorin) ",Martin HUBER,GenSekr CSU,Anna LEHMANN,"Journalistin, ""taz""",Dr Vanessa GRAßNICKEL,Fachärztin für Psychiatrie und Psychotherapie,Nathalie STÜBEN,Autorin,,,,,,,,,,,,,,,,,,
 Markus Lanz 13.03.2024,1917,17,29,13.03.2024,044'38,00:05:24 - 00:50:02," 00:05:24 - 00:50:02 044'38 O-Ton Interview Markus LANZ mit den Studiogästen Armin COERPER (ZDF-Korrespondent, Leiter ZDF-Studio Moskau, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 14.03.2024,1918,17,30,14.03.2024,074'51,23:21:36 - 00:36:27," 23:21:36 - 00:36:27 074'51 O-Ton Interview Markus LANZ mit den Studiogästen Omid NOURIPOUR (Politiker, Vors Bündnis 90 / Die Grünen), Julia LÖHR (Journalistin, ""FAZ""), Kai AMBOS (Völkerrechtler), Gabriel SHIPTON (Filmproduzent, Zuschaltung per Videotelefonie) und Heribert PRANTL (Journalist, ""Süddeutschen Zeitung"") ",Omid NOURIPOUR,"Politiker, Vors Bündnis 90 / Die Grünen",Julia LÖHR,"Journalistin, ""FAZ""",Kai AMBOS,Völkerrechtler,Gabriel SHIPTON,"Filmproduzent, Zuschaltung per Videotelefonie",Heribert PRANTL,"Journalist, ""Süddeutschen Zeitung""",,,,,,,,,,,,,,,,
 Markus Lanz 19.03.2024,1919,17,31,19.03.2024,076'42,23:11:34 - 00:28:16," 23:11:34 - 00:28:16 076'42 O-Ton Interview Markus LANZ mit den Studiogästen Gregor GYSI (Politiker, Die Linke), Sabine RENNEFANZ (Journalistin, ""Spiegel""), Sabine FISCHER (Politologin, Stiftung Wissenschaft und Politik) und Florian NEUHANN (Journalist, ZDF) ",Gregor GYSI,"Politiker, Die Linke",Sabine RENNEFANZ,"Journalistin, ""Spiegel""",Sabine FISCHER,"Politologin, Stiftung Wissenschaft und Politik",Florian NEUHANN,"Journalist, ZDF",,,,,,,,,,,,,,,,,,
 Markus Lanz 20.03.2024,1920,17,32,20.03.2024,070'27,23:37:19 - 00:47:46," 23:37:19 - 00:47:46 070'27 O-Ton Interview Markus LANZ mit den Studiogästen Christian DÜRR (Fraktionsvors FDP), Ulrike HERRMANN (Journalistin, ""taz"") und Patrick ZAHN (Manager KiK) ",Christian DÜRR,Fraktionsvors FDP,Ulrike HERRMANN,"Journalistin, ""taz""",Patrick ZAHN,Manager KiK,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 21.03.2024,1921,17,33,21.03.2024,075'10,23:21:14 - 00:36:24," 23:21:14 - 00:36:24 075'10 O-Ton Interview Markus LANZ mit den Studiogästen Herbert DIESS (ehem VW-Chef), Joe KAESER (ehem Siemens-Vorstand), Andrea THOMA-BÖCK (Unternehmerin) und Julian OLK (Wirtschaftsjournalist, ""Handelsblatt"") ",Herbert DIESS,ehem VW-Chef,Joe KAESER,ehem Siemens-Vorstand,Andrea THOMA-BÖCK,Unternehmerin,Julian OLK,"Wirtschaftsjournalist, ""Handelsblatt""",,,,,,,,,,,,,,,,,,
 Markus Lanz 26.03.2024,1922,17,34,26.03.2024,075'33,22:45:28 - 00:01:01," 22:45:28 - 00:01:01 075'33 O-Ton Interview Markus LANZ mit den Studiogästen Gerald KNAUS (Migrationsforscher), Rene WILKE (OB Frankfurt / Oder, Die Linke), Olaf VON LÖWIS (Landrat Miesbach, CSU) und Sibylle KEUPEN (OB Aachen, parteilos) ",Gerald KNAUS,Migrationsforscher,Rene WILKE,"OB Frankfurt / Oder, Die Linke",Olaf VON,"Landrat Miesbach, CSU",Sibylle KEUPEN,"OB Aachen, parteilos",,,,,,,,,,,,,,,,,,
 Markus Lanz 27.03.2024,1923,17,35,27.03.2024,074'27,23:15:08 - 00:29:35," 23:15:08 - 00:29:35 074'27 O-Ton Interview Markus LANZ mit den Studiogästen Cordelia KOCH (Bezirksbürgermeisterin Berlin, Pankow, Bündnis 90 / Die Grünen), Andreas BAUSEWEIN (OB Erfurt, SPD), Ursula BAUM (Bgm, Kaarst, FDP) und Christian ENGELHARDT (Landrat, Kreis Bergstraße, CDU) ",Cordelia KOCH,"Bezirksbürgermeisterin Berlin, Pankow, Bündnis 90 / Die Grünen",Andreas BAUSEWEIN,"OB Erfurt, SPD",Ursula BAUM,"Bgm, Kaarst, FDP",Christian ENGELHARDT,"Landrat, Kreis Bergstraße, CDU",,,,,,,,,,,,,,,,,,
 Markus Lanz 28.03.2024,1924,17,36,28.03.2024,075'38,22:57:50 - 00:13:28," 22:57:50 - 00:13:28 075'38 O-Ton Interview Markus LANZ mit den Studiogästen Bettina DICKES (Landrätin Bad Kreuznach, CDU), Felix SCHWENKE (OB Offenbach, SPD), Christine HERNTIER (Bgm Spremberg, parteilos) und Katja WOLF (OB Eisenach, BSW) ",Bettina DICKES,"Landrätin Bad Kreuznach, CDU",Felix SCHWENKE,"OB Offenbach, SPD",Christine HERNTIER,"Bgm Spremberg, parteilos",Katja WOLF,"OB Eisenach, BSW",,,,,,,,,,,,,,,,,,
 Markus Lanz 02.04.2024,1925,17,37,02.04.2024,075'34,22:44:48 - 00:00:22," 22:44:48 - 00:00:22 075'34 O-Ton Interview Markus LANZ mit den Studiogästen Elmar THEVEßEN (Leiter ZDF-Studio Washington, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 03.04.2024,1926,17,38,03.04.2024,075'09,23:36:17 - 00:51:26," 23:36:17 - 00:51:26 075'09 O-Ton Interview Markus LANZ mit den Studiogästen Amiria MOHAMED ALI (Politikerin, BSW), Michael BRÖCKER (Journalist, ""Table.Media""), Kai AMBOS (Völkerrechtler) und Michael WOLFFSOHN (Historiker) ",Amiria MOHAMED,"Politikerin, BSW",Michael BRÖCKER,"Journalist, ""Table.Media""",Kai AMBOS,Völkerrechtler,Michael WOLFFSOHN,Historiker,,,,,,,,,,,,,,,,,,
 Markus Lanz 04.04.2024,1927,17,39,04.04.2024,076'23,23:20:29 - 00:36:52," 23:20:29 - 00:36:52 076'23 O-Ton Interview Markus LANZ mit den Studiogästen Karin PRIEN (Vizevors CDU, Kultusministerin Schleswig-Holstein), Anja MUNDT-BACKHAUS (Schulleiterin), Aladin EL-MAFAALANI (Soziologe) und Manfred LÜTZ (Theologe, Psychiater) ",Karin PRIEN,"Vizevors CDU, Kultusministerin Schleswig-Holstein",Anja MUNDT-BACKHAUS,Schulleiterin,Aladin EL-MAFAALANI,Soziologe,Manfred LÜTZ,"Theologe, Psychiater",,,,,,,,,,,,,,,,,,
